KeyWord
tech firm CageEye;
Norwegian fish farms;
salmon feeding patterns;
automated feeding systems;
artificial intelligence technologies;
monitor the salmon;
computer vision algorithms;
parasitic sea louse;
detect sea lice;
fish farming;
artigical intelligence;
farmed salmon;
fish farms;
hydro-acoustic system;
Mr Sovegjarto;
audio data;
caged salmon;
salmon farming;
hi-tech approaches;
fish monitoring;
video cameras;
lice attach;
lice removal;
business;
industry;
automationa;
Norway;
salmon;
fish;
noise;
feed;
hi-tech.
