sense	context(lemmatized)
0	столица то чтобы бить но стоять
0	вид вода который бить рядом французский город авен
0	у обледенелый пень бить незамерзающий
0	дно озеро бить тысяча хотя расшевеливать его поверхность
0	землянка навстречу ты бить грязевый
0	из глубокий расселина бить горячий окутывать туман край впадина
0	каравай стол вода голова плечо
0	место шлюз бить могучий
0	подниматься река то подземный переставать биться
0	бить день ночь белый попыхивать белый дымок
0	живой вода бить
0	запрокидываться бежать шуметь родниковый колода хрустальныим
0	фонтан вода громко зашуметь родниковый находить то
0	фонтан вода шуметь родниковый играть музыка
0	степной деревня мужик за неимение колодец пить какой то жидкий
0	тот сердце кой отворяться мертвый вода фонтан денно
0	чаша из который бить ртутный
0	изо весь истукан начинать бить который превосходить высота
0	источник извиваться стена
0	раздеваться тогда служитель отворачивать который находиться посередине тогда начинать
0	нога когда то топтаться забывать родитель быть дома
0	содержание статья другой допускать некто знать нельзя
0	который видеть как к безопасность собственный земля так
0	бия мы производить вода серебряный
0	вспоминать вот веселие бить чем приходиться убеждаться
0	намет возле избушка спуск к за вода наконец заглушать
0	компенсировать радушие дежурная щедро выделять от помещение рабочий душ
0	море источник весь река как господь иисус христос источник
0	идти градус восемьдесят почти белый оживляться
0	влага бить из под земля термальный слово онсэн буквально означать горячий
0	ванна вода из вулканический как отмечаться порождать то
0	из вы так бить горячий
0	информация немного другой класс
0	если мы оставлять от небо земля
0	сей пора называться кибелекский святой вода
0	это набирать вода из который находиться полтора километр
0	мы именовать себя страж страж сменяться хозяин земля проходить
0	приказывать наш предок хранить бы ни случаться
0	быть там почти кастальский прозрачный
0	об эволюционный происхождение митохондрия оказываться к решение проблема практический медицина
0	тогда становиться понятно к они давать динамика рост
0	ее место забивать подземный прозрачный живой вода
0	губа как из последний сила ни отрываться
0	где пить из кастильский бессмертный вдохновение откладывать
0	центр озеро бить образовывать побулькивать полынь отмечать репейник
0	дно генисаретский озеро бить соленый соль способствовать снижение температура
0	если грунтовый вода действительно образовывать поток выходить поверхность
0	c при температура вода например 10 c вода
0	ныне существующий источник жидкий вода грунтовый вода возникать склон
0	пить доставать связка пересчитывать
0	поплыть предвкушение толчок ледяной споднизу дно
0	нрав переправа через волга от кандалы выкрадывать когда замечать
0	24 32 тыс доллар под
0	весь при это благодаря естественный озеро оставаться чистый
0	обетованный так находить к сердце болельщик принимать
0	вода из источник становиться продавать бутылка
0	мгла там где желтый бить где за тысяча
0	перила небольшой висячий замочек выкидывать река
0	гостиница то вода то то шлепка
0	заключаться особый состав вода который находиться территория загородный
0	устанавливать британский ученый вода из балморать содержать себя защитный
0	быть густой лесной дубрава журчать бить родник питать
0	потом кинуть стол схватывать бутылка
0	скала старик камень бить платонида священный место уральский раскольник
0	кум песок чишмы родник небольшой речка вытекать из под земля
0	ыш или аша ошмос родник то быть поныш конец
0	набережная орлик зашвырнуть от квартира круговерть река
0	упражнение энергия бить из удерживать спальня становиться
0	бить озеро зарастать
0	глаз старец чистый словно родниковый
0	использование продевать веревочка веревочка опускать
0	построить линейно развиваться логический требовать многоходовый челночно возвратный
0	сторона чтобы увидеть бить трансценденция только слегка ослаблять
0	из некий созвездие данные бить имманентный смысл там же 558
0	знать ни алгоритм ни
0	берет чистый словно из шварцвальдский игнорировать язык интеллектуальный толк то
0	чтоб бить вправду нет оставлять
0	пятачок заасфальтировать земля перед автостанция к воевать город стратегический плацдарм
0	кривая рог из село чистый 2 форма множественный число из город
0	хватить чтобы опускать до земля пятый этаж
0	забивать рядом как чистый лесной фонтан животворящий влага
0	открывать дверь выключать конфорка выливать из
0	дыхание из каспаров энергия бить затем гарри кимович выходить
0	являться источник из который бить жизненный сила
0	мы как везде бить
0	битый будильник новенький гаечный пачкать подстилать газета янтарный масло
0	глаз ткнуть авторучка зонтик крайний случай
0	какой то угол закрывать старый пианино
0	поддержка ssl при длина менее 128 бить прикладной
0	пара это бить подземный горячий
0	адреналин быть бить когда скорость твой торпеда перевалить
0	смотреть земля уходить из под нога
0	укрываться курточка из карман пол упасть
0	бить из земля устраивать грот к который вести
0	пусть бить как центр но уж
0	кто отвечать кто повертывать перекрывать вода труд
0	царство мертвый гия давать к ясный построение сочинение
0	лабиринт чтобы создавать запоминать именно для определенный ящичек
0	чуть расширенный углубленный горловина выкладывать быть камень да кафельный
0	иссякать водопад подземный река подземный водоем питать они
0	сидеть у иертр опускать вода рука
0	вытекать из под земля быть название
0	когда студеный играть овраг погружать
0	знак благодарность за освобождение город земля русский от француз
0	2 небольшой фонтанчик бить окружать достаточно крупный гладкий камень
0	легкий ледяной корка пульсировать незамерзший
0	красивый молодой женщина открывать дверь зажмуриваться от поток свет
0	структура буквально бить
0	от который энергия буквально бить
0	пацан из который энергия бить
0	чистый прозрачный вода множество заводь деревянный мостик
0	гейне об остров где бить вечный юность
0	мой длинный зонт скрипичный привозить из хороводный венский город
0	постоять глядеть как вода белый бить широкий ванна потом
0	симметричный шифрация des использование длина 128 бит
0	тесный пруд тогда бить холодный однажды там утопать несчастный
0	маленький фонтан бить из камень оживлять уголок
0	дно котлован забурлить несколько
0	королевский семья просто бить
0	тот сила увлеченность который бить из андрей курбатова
0	тоже неизменно дивиться его бить просто невероятный энергия
0	слетать почему то напоминать то басовый то скрипичный то какой то штрих
0	подлинный любовь заливать бить горячий кипяток хорошо все вскипятить родниковый
0	затем вынимать из сумочка отдавать мы сказать
0	телевизионный публицистический мысль бить сейчас издатель мочь
0	замшелый колодец как бить желтый как разбегалисить луч
0	нерастраченный жизненный сила бить творческий энергия попрек
0	рождественский звезда который считать ко все роман писать
0	северный река бить быть свежий немой
0	коридор вы связка видеть открывать дверь
0	себя ведать ни к подземный источник ни освежать
0	но если новый земля к восточный арктика неизменно притягивать
0	к спасение земля как выясняться
0	из под ужасающий маска который бить чистый вода 15
0	сплотка деревянный желоб подаваться из распадок вода размывать ползти
0	точно вода из светлый напиваться
0	ночной обмолвка вовсе к какой то скрытый обстоятельство
0	шаг который должный бить артезианский живительный сок для россия это
0	подробно но тот же рассматриваться концепция единый нация цзян
0	чем интенсивно бить общественный жизнь тем часто
0	течение жизнь буквально бить страница произведение постоянно вторгаться
0	образ отсылать мы к кастальский точный удачный за исключение
0	стоять под холодный ручей холодный вода много кислород
0	тайный дом где бить неиссякать
0	дева мария вода ходить обронить
0	город бить много пять десяток однако специалист постоянно контролировать только
0	пора доподлинно неизвестно откуда городской снабжаться вода кроме то
0	побывать минеральный купаться теплый бодрящий вода
0	незамерзающий пруд возможно там бить
0	закат прозрачный поток чистый
0	сидеть костюмерный запираться пить сам себя но
0	ткать чужеземка вода носить от мессеис или гипперей ропот
0	предмет нет но фантазия бить
0	матовый поблескивать дно сквозь
0	сейчас амбиция молодой конюшня бить
0	к ее верховье к неведомый бить отдаленный лесной овраг
0	из мы обретать гаечный
0	воистину все чисто русский непобедимый поле брань богатырь
0	такой название как живой родник исток корень река протока восход
0	родниковый вода бить 13
0	перегородка потому бить связка очечник из пластмасса
0	аналитик проницательный человек из который бить идея
0	теплиться просто таки бить
0	искусственный русло посреди песок забивать быстро образовывать зеленеть оазис
0	открываться дверь машина оставаться внутри то
0	который выходить у подножие гора
0	ж светлый тоже бить из под дикий камень
0	напирать увеличиваться число бить из дыра проезд
