sence	context
0	столицы не то чтобы бьёт  но и не стоит на
0	с виду воду, которая бьёт  рядом с французским городом Авен
0	у обледенелого пня, бьёт Незамерзающий  
0	со дна озера били тысячи  и, хотя расшевелить его поверхность
0	землянки, навстречу тебе бьют грязевые  
0	из глубоких расселин били горячие  окутывая туманом края впадины. 
0	каравай на столе, вода в  а голова на плечах… 
0	месте шлюза и били могучие  
0	поднялась в реке, то подземные  перестали биться. 
0	бьёт день и ночь белым  попыхивает белым дымком. 
0	а в ней живая вода  бьёт. 
0	запрокидывается; и бегут и шумят  родниковые по  колодам хрустальныим. 
0	фонтаны воды и громче зашумели  родниковые; и нашла она то
0	фонтаны воды и не шумели  родниковые, не играла музыка во
0	степных деревнях, мужики, за неименьем  и колодцев, пьют какую-то жидкую
0	том сердце, в коем отворился  мёртвых вод и фонтан денно
0	чашу, из которой бил ртутный  
0	изо всех истуканов начали бить  которые превосходили высотою первого, а
0	  и источники извивались по стенам
0	него, раздевшись, тогда служитель отвернул  который находился посередине; тогда начал
0	ног, она когда-то топталась, забыв  а родителей не было дома
0	содержании этой статьи в другом  Допустим, некто знает, что нельзя
0	в котором он видел как  к безопасности собственных земель, так
0	Бией» мы производим воду «Серебряный  
0	вспоминает, а вот веселье бьет  в чем пришлось убедиться и
0	наметы возле избушки, спуск к  за водой и наконец заглушил
0	компенсировано радушием дежурной, щедро выделившей  от помещения с рабочим душем
0	море ― источник всех рек и  как Господь Иисус Христос ― источник
0	идет градусов восемьдесят, почти белый  оживился он. 
0	влагой бьющих из-под земли термальных  слово «онсэн» буквально означает «горячий
0	ванн с водой из вулканических  как уже отмечалось, порожден тем
0	Из Вас так и бьёт  горячий! 
0	эту информацию немного в другом  в классе в этом году
0	 Если нам и оставлены  от неба здесь, на Земле
0	сих пор и называется Кибелекским  святой воды. 
0	после этого набирать воду из  который находится в полутора километрах
0	мы именуем себя Стражами, Стражами  Сменялись хозяева этой земли, проходили
0	приказал нашим предкам хранить этот  что бы ни случилось на
0	 Есть там  почти Кастальский с прозрачной и
0	об эволюционном происхождении митохондрий оказался  к решению проблемы практической медицины
0	 Тогда стало понятно, что  к ним дает динамика роста
0	на её месте забил подземный  прозрачной живой воды. 
0	с губ, как из последнего  не в силах ни оторваться
0	где он пил из Кастильского  бессмертного вдохновения, я отложила на
0	 В центре озера бьет  образующий побулькивающую полынью, отмеченную репейником
0	дне Генисаретского озера бьют соленые  соль способствует снижению температуры и
0	Если грунтовая вода действительно образовала  и поток вышел на поверхность
0	C. При температуре воды в  например, 10 C вода в
0	ныне существующими источниками жидкой воды,  грунтовых вод, возникающими на склонах
0	пью, достаю связку и пересчитываю  
0	поплыл в предвкушении толчков ледяных  споднизу, с самого дна. 
